client_profit_center_id,team_id,user_id
1,1,12
2,1,12
3,2,11
4,2,11
5,2,11
6,2,11
7,3,6
8,1,12
9,1,7
10,3,6
11,3,6
12,3,6
13,1,12
14,2,5
15,1,12
16,2,13
17,2,13
18,1,7
19,3,6
20,2,13
21,3,6
22,1,12
23,3,6
24,1,12
25,2,13
26,1,9
27,2,16
28,3,6
29,2,5
30,2,13
31,3,6
32,2,5
33,1,12
34,2,5
35,1,7
36,3,6
37,3,6
38,2,13
39,2,14
40,2,17
41,2,11
42,1,7
43,2,17
44,2,17
45,2,13
46,3,6
47,2,10
48,2,13
49,3,6
50,2,13
51,3,6
52,2,14
53,3,6
54,1,9
55,2,5
56,1,9
57,2,17
58,3,6
59,2,13
60,2,13
61,1,12
62,2,13
63,2,5
64,2,13
65,1,4
66,1,8
67,2,10
68,2,10
69,1,7
70,1,7
71,1,8
72,2,10
73,2,13
74,2,13
75,2,13
76,2,5
77,3,6
78,3,6
79,2,13
80,2,11
81,3,6
82,2,13
83,2,13
84,2,13
85,2,11
86,2,11
87,2,11
88,1,7
89,2,11
90,2,11
91,2,11
92,2,12
93,2,5
94,1,12
95,1,12
96,1,12
97,1,8
98,2,5
99,2,11
100,2,13
101,3,6
102,2,13
103,2,13
104,1,12
105,2,13
106,2,11
107,2,5
108,1,12
109,2,11
110,1,12
111,2,11
112,1,12
113,2,13
114,1,7
115,1,12
116,2,14
117,2,13
118,2,11
119,3,6
120,2,11
121,1,7
122,2,13
123,1,7
124,1,12
125,2,11
126,1,7
127,2,13
128,3,6
129,3,6
130,1,7
131,3,6
132,2,11
133,2,11
134,2,14
135,1,12
136,2,13
137,1,7
138,1,7
139,1,7
140,1,12
141,2,11
142,1,8
143,2,10
144,2,10
145,2,14
146,2,14
147,2,14
148,2,5
149,2,11
150,2,11
151,1,12
152,2,11
153,1,12
154,1,7
155,2,12
156,2,5
157,2,5
158,1,7
159,2,11
160,2,11
161,2,14
162,2,5
163,2,5
164,2,16
165,1,12
166,2,11
167,2,11
168,2,11
169,2,13
170,2,13
171,2,14
172,1,12
173,2,14
174,2,13
175,2,11
176,2,13
177,2,14
178,2,11
179,1,7
180,3,6
181,3,6
182,3,6
183,2,13
184,2,11
185,1,4
186,1,7
187,1,7
188,1,7
189,2,13
190,1,7
191,1,7
192,1,8
193,1,8
194,1,8
195,1,8
196,1,8
197,1,9
198,1,8
199,1,8
200,1,4
201,2,11
202,2,14
203,3,6
204,1,4
205,1,7
206,1,8
207,1,7
208,1,8
209,1,7
210,1,8
211,2,11
212,1,12
213,2,11
214,1,8
215,1,7
216,1,12
217,1,4
218,1,12
219,1,8
220,1,7
221,2,13
222,1,7
223,1,7
224,3,6
225,1,7
226,1,4
227,1,8
228,1,8
229,1,8
230,1,4
231,1,8
232,1,8
233,1,9
234,1,8
235,1,4
236,1,4
237,1,4
238,1,8
239,3,6
240,1,12
241,2,14
242,1,4
243,1,8
244,1,7
245,3,6
246,1,8
247,1,7
248,2,14
249,3,6
250,2,10
251,1,12
252,2,13
253,3,6
254,1,4
255,1,4
256,3,6
257,1,7
258,1,8
259,2,11
260,1,8
261,1,4
262,3,6
263,1,8
264,1,4
265,1,7
266,2,11
267,3,6
268,1,7
269,1,7
270,1,7
271,3,6
272,1,8
273,1,8
274,1,8
275,1,8
276,1,8
277,1,4
278,3,6
279,1,8
280,1,12
281,1,8
282,1,8
283,1,7
284,3,6
285,1,12
286,3,6
287,3,6
288,1,4
289,2,11
290,1,7
291,1,8
292,1,8
293,1,4
294,1,7
295,1,8
296,1,8
297,1,8
298,1,4
299,1,8
300,1,4
301,1,4
302,1,8
303,1,4
304,3,6
305,1,7
306,1,8
307,1,4
308,1,12
309,2,11
310,2,11
311,2,11
312,2,11
313,3,6
314,2,5
315,1,12
316,1,7
317,2,13
318,3,6
319,2,13
320,3,6
321,3,6
322,3,6
323,2,13
324,3,6
325,1,12
326,2,5
327,1,8
328,1,7
329,1,8
330,1,8
331,2,13
332,2,13
333,2,5
334,2,11
335,1,7
336,2,11
337,1,12
338,1,8
339,1,4
340,1,4
341,1,8
342,3,6
343,2,11
344,2,11
345,1,8
346,1,12
347,1,12
348,1,7
349,2,11
350,1,12
351,2,14
352,2,11
353,2,14
354,1,7
355,3,6
356,2,11
357,2,14
358,3,6
359,1,12
360,3,6
361,2,11
362,2,13
363,1,7
364,3,6
365,1,12
366,2,14
367,2,14
368,2,14
369,1,8
370,2,13
371,2,11
372,1,12
373,2,11
374,2,5
375,2,5
376,3,6
377,2,10
378,2,11
379,2,14
380,2,11
381,3,6
382,2,5
383,1,9
384,2,11
385,2,11
386,2,11
387,2,11
388,3,6
389,3,6
390,3,6
391,2,5
392,1,12
393,1,7
394,3,6
395,2,13
396,3,6
397,3,6
398,1,7
399,2,11
400,1,7
401,2,13
402,3,6
403,1,9
404,1,7
405,3,6
406,3,6
407,1,12
408,2,5
409,1,7
410,2,14
411,1,9
412,2,13
413,3,6
414,2,13
415,2,13
416,2,5
417,2,13
418,2,11
419,2,13
420,2,13
421,1,7
422,2,11
423,2,11
424,1,12
425,1,8
426,1,4
427,1,8
428,1,8
429,3,6
430,2,13
431,2,10
432,1,12
433,1,12
434,1,9
435,1,12
436,2,11
437,1,12
438,2,14
439,2,13
440,1,4
441,2,11
442,1,7
443,1,8
444,1,12
445,2,14
446,2,11
447,2,13
448,3,6
449,2,11
450,2,14
451,2,11
452,1,7
453,2,13
454,1,8
455,1,12
456,2,10
457,2,10
458,2,10
459,3,6
460,2,14
461,2,14
462,2,14
463,2,14
464,2,14
465,2,11
466,2,11
467,2,11
468,1,8
469,3,6
470,3,6
471,1,7
472,2,11
473,2,11
474,2,13
475,1,8
476,1,4
477,2,14
478,1,8
479,1,7
480,3,6
481,1,7
482,2,11
483,3,6
484,3,6
485,2,5
486,1,4
487,2,5
488,1,7
489,1,8
490,1,7
491,1,7
492,1,7
493,3,6
494,1,7
495,1,7
496,1,8
497,1,8
498,1,8
499,1,8
500,1,8
501,2,11
502,1,8
503,1,9
504,1,8
505,1,12
506,1,7
507,3,6
508,1,7
509,1,8
510,1,4
511,1,7
512,1,12
513,2,13
514,1,8
515,1,9
516,1,7
517,1,8
518,1,8
519,2,11
520,2,10
521,2,10
522,1,12
523,2,11
524,2,11
525,2,11
526,2,11
527,3,6
528,1,12
529,1,7
530,3,6
531,2,5
532,3,6
533,2,13
534,3,6
535,3,6
536,2,10
537,1,12
538,2,13
539,1,12
540,2,13
541,2,10
542,3,6
543,2,13
544,3,6
545,2,14
546,3,6
547,2,5
548,2,13
549,3,6
550,2,13
551,1,12
552,2,5
553,1,7
554,3,6
555,1,8
556,2,10
557,2,11
558,1,7
559,2,17
560,2,13
561,3,6
562,2,10
563,3,6
564,3,6
565,2,10
566,1,9
567,1,12
568,2,13
569,3,6
570,1,9
571,3,6
572,2,13
573,1,12
574,1,12
575,2,13
576,2,5
577,2,5
578,2,13
579,2,10
580,2,10
581,1,7
582,1,8
583,1,7
584,2,14
585,3,6
