ID,ClientProfitCenterID,BudgetMonth,BudgetYear,Amount
1,157,1,2024,1200
2,157,2,2024,2401
3,157,3,2024,2837
4,157,4,2024,3274
5,157,5,2024,3492
6,157,6,2024,3492
7,157,7,2024,2401
8,157,8,2024,1964
9,157,9,2024,3492
10,157,10,2024,3492
11,157,11,2024,3055
12,157,12,2024,982
13,157,1,2025,1200
14,157,2,2025,2401
15,157,3,2025,2837
16,157,4,2025,2517
17,157,5,2025,2789
18,157,6,2025,2910
19,157,7,2025,2933
20,157,8,2025,2432
21,157,9,2025,3175
22,157,10,2025,3077
23,157,11,2025,2960
24,157,12,2025,1332
25,157,1,2026,2296
26,157,2,2026,2572
27,157,3,2026,3326
28,164,1,2024,602
29,164,2,2024,1203
30,164,3,2024,1422
31,164,4,2024,1641
32,164,5,2024,1750
33,164,6,2024,1750
34,164,7,2024,1203
35,164,8,2024,985
36,164,9,2024,1750
37,164,10,2024,1750
38,164,11,2024,1532
39,164,12,2024,492
40,164,1,2025,602
41,164,2,2025,1203
42,164,3,2025,1422
43,164,4,2025,1327
44,164,5,2025,1471
45,164,6,2025,1535
46,164,7,2025,1547
47,164,8,2025,1283
48,164,9,2025,1674
49,164,10,2025,1623
50,164,11,2025,1561
51,164,12,2025,703
52,164,1,2026,1211
53,164,2,2026,1356
54,164,3,2026,1754
55,180,1,2024,337
56,180,2,2024,674
57,180,3,2024,796
58,180,4,2024,919
59,180,5,2024,980
60,180,6,2024,980
61,180,7,2024,674
62,180,8,2024,551
63,180,9,2024,980
64,180,10,2024,980
65,180,11,2024,857
66,180,12,2024,276
67,180,1,2025,337
68,180,2,2025,674
69,180,3,2025,796
70,180,4,2025,504
71,180,5,2025,558
72,180,6,2025,582
73,180,7,2025,587
74,180,8,2025,487
75,180,9,2025,635
76,180,10,2025,616
77,180,11,2025,592
78,180,12,2025,267
79,180,1,2026,459
80,180,2,2026,515
81,180,3,2026,665
82,116,1,2024,300
83,116,2,2024,599
84,116,3,2024,708
85,116,4,2024,817
86,116,5,2024,871
87,116,6,2024,871
88,116,7,2024,599
89,116,8,2024,490
90,116,9,2024,871
91,116,10,2024,871
92,116,11,2024,763
93,116,12,2024,245
94,116,1,2025,300
95,116,2,2025,599
96,116,3,2025,708
97,116,4,2025,585
98,116,5,2025,648
99,116,6,2025,676
100,116,7,2025,681
101,116,8,2025,565
102,116,9,2025,738
103,116,10,2025,715
104,116,11,2025,688
105,116,12,2025,310
106,116,1,2026,533
107,116,2,2026,598
108,116,3,2026,773
109,178,1,2024,273
110,178,2,2024,547
111,178,3,2024,646
112,178,4,2024,745
113,178,5,2024,795
114,178,6,2024,795
115,178,7,2024,547
116,178,8,2024,447
117,178,9,2024,795
118,178,10,2024,795
119,178,11,2024,696
120,178,12,2024,224
121,178,1,2025,273
122,178,2,2025,547
123,178,3,2025,646
124,178,4,2025,553
125,178,5,2025,613
126,178,6,2025,640
127,178,7,2025,644
128,178,8,2025,534
129,178,9,2025,698
130,178,10,2025,676
131,178,11,2025,650
132,178,12,2025,293
133,178,1,2026,505
134,178,2,2026,565
135,178,3,2026,731
136,148,1,2024,260
137,148,2,2024,520
138,148,3,2024,614
139,148,4,2024,709
140,148,5,2024,756
141,148,6,2024,756
142,148,7,2024,520
143,148,8,2024,425
144,148,9,2024,756
145,148,10,2024,756
146,148,11,2024,661
147,148,12,2024,213
148,148,1,2025,260
149,148,2,2025,520
150,148,3,2025,614
151,148,4,2025,657
152,148,5,2025,728
153,148,6,2025,760
154,148,7,2025,766
155,148,8,2025,635
156,148,9,2025,829
157,148,10,2025,803
158,148,11,2025,773
159,148,12,2025,348
160,148,1,2026,600
161,148,2,2026,672
162,148,3,2026,868
163,70,1,2024,240
164,70,2,2024,481
165,70,3,2024,568
166,70,4,2024,656
167,70,5,2024,699
168,70,6,2024,699
169,70,7,2024,481
170,70,8,2024,393
171,70,9,2024,699
172,70,10,2024,699
173,70,11,2024,612
174,70,12,2024,197
175,70,1,2025,240
176,70,2,2025,481
177,70,3,2025,568
178,70,4,2025,362
179,70,5,2025,401
180,70,6,2025,418
181,70,7,2025,421
182,70,8,2025,349
183,70,9,2025,456
184,70,10,2025,442
185,70,11,2025,425
186,70,12,2025,191
187,70,1,2026,330
188,70,2,2026,370
189,70,3,2026,478
190,14,1,2024,225
191,14,2,2024,449
192,14,3,2024,531
193,14,4,2024,613
194,14,5,2024,654
195,14,6,2024,654
196,14,7,2024,449
197,14,8,2024,368
198,14,9,2024,654
199,14,10,2024,654
200,14,11,2024,572
201,14,12,2024,184
202,14,1,2025,225
203,14,2,2025,449
204,14,3,2025,531
205,14,4,2025,885
206,14,5,2025,981
207,14,6,2025,1024
208,14,7,2025,1031
209,14,8,2025,855
210,14,9,2025,1117
211,14,10,2025,1082
212,14,11,2025,1041
213,14,12,2025,469
214,14,1,2026,808
215,14,2,2026,905
216,14,3,2026,1170
217,95,1,2024,153
218,95,2,2024,306
219,95,3,2024,361
220,95,4,2024,417
221,95,5,2024,445
222,95,6,2024,445
223,95,7,2024,306
224,95,8,2024,250
225,95,9,2024,445
226,95,10,2024,445
227,95,11,2024,389
228,95,12,2024,125
229,95,1,2025,153
230,95,2,2025,306
231,95,3,2025,361
232,95,4,2025,223
233,95,5,2025,247
234,95,6,2025,257
235,95,7,2025,259
236,95,8,2025,215
237,95,9,2025,281
238,95,10,2025,272
239,95,11,2025,262
240,95,12,2025,118
241,95,1,2026,203
242,95,2,2026,228
243,95,3,2026,294
244,118,1,2024,149
245,118,2,2024,298
246,118,3,2024,352
247,118,4,2024,406
248,118,5,2024,433
249,118,6,2024,433
250,118,7,2024,298
251,118,8,2024,244
252,118,9,2024,433
253,118,10,2024,433
254,118,11,2024,379
255,118,12,2024,122
256,118,1,2025,149
257,118,2,2025,298
258,118,3,2025,352
259,118,4,2025,243
260,118,5,2025,269
261,118,6,2025,281
262,118,7,2025,283
263,118,8,2025,235
264,118,9,2025,307
265,118,10,2025,297
266,118,11,2025,286
267,118,12,2025,129
268,118,1,2026,222
269,118,2,2026,248
270,118,3,2026,321
271,93,1,2024,147
272,93,2,2024,295
273,93,3,2024,348
274,93,4,2024,402
275,93,5,2024,429
276,93,6,2024,429
277,93,7,2024,295
278,93,8,2024,241
279,93,9,2024,429
280,93,10,2024,429
281,93,11,2024,375
282,93,12,2024,121
283,93,1,2025,147
284,93,2,2025,295
285,93,3,2025,348
286,93,4,2025,197
287,93,5,2025,218
288,93,6,2025,227
289,93,7,2025,229
290,93,8,2025,190
291,93,9,2025,248
292,93,10,2025,240
293,93,11,2025,231
294,93,12,2025,104
295,93,1,2026,179
296,93,2,2026,201
