client_group_number,profit_center_code
10313,110
10725,110
10314,110
10304,110
10310,110
10303,110
12504,110
12597,110
12170,110
12243,110
10116,110
12596,110
10251,110
10778,110
12496,110
10107,110
10430,110
10109,110
12619,110
10111,110
10168,110
10651,110
11215,110
10333,110
11313,110
12377,110
12618,110
11535,110
12146,110
12590,110
10589,110
12632,110
10123,110
12414,110
11338,110
12571,110
10125,110
10643,110
11243,110
11110,110
10131,110
11736,110
10159,110
10820,110
10138,110
12587,110
12158,110
12636,110
11315,110
10260,110
12523,110
10649,110
12581,110
12600,110
12625,110
12630,110
10785,110
10147,110
10126,110
12584,110
10261,110
12594,110
12445,110
11596,110
10154,110
12284,110
10155,110
12557,110
11686,110
10172,110
10171,110
11654,110
10176,110
10186,110
12593,110
11145,110
10842,110
12585,110
12608,110
10194,110
12595,110
10513,110
11662,110
12438,110
12561,110
12627,110
10681,110
10974,110
10201,110
10377,110
10280,110
12573,110
10592,110
11875,110
12373,110
11272,110
10633,110
12635,110
10214,110
12591,110
10714,110
10811,110
12305,110
10224,110
12145,110
12615,110
12248,110
11611,110
12399,110
11910,110
12365,110
11297,110
11621,110
12419,110
12583,110
10240,110
11462,110
10242,110
12574,110
10245,110
12388,110
10266,110
12509,110
10267,110
11991,110
12003,110
12366,110
12384,110
11982,110
10442,110
10299,110
10289,110
10290,110
10295,110
10184,110
10305,110
12283,110
12288,110
12367,110
11871,110
10302,110
12294,110
11319,110
11237,110
11994,110
11992,110
11201,110
12537,110
12586,110
10322,110
10874,110
10325,110
10380,110
11781,110
12211,110
12035,110
11907,110
12396,110
12599,110
12522,110
11617,110
12567,110
12343,110
10129,110
11612,110
10343,110
10346,110
11117,110
10570,110
12589,110
11310,110
10692,110
10117,110
10113,110
12601,110
11990,110
10357,110
10185,110
10369,110
11168,110
12136,110
12462,110
11779,110
10304,130
11286,130
10109,130
10120,130
11736,130
10138,130
10872,130
10877,130
12284,130
10197,130
10171,130
11795,130
10596,130
12606,130
12210,130
10633,130
12541,130
10218,130
10240,130
10989,130
10511,130
10442,130
12490,130
10334,130
12004,130
10365,130
12542,130
10185,130
10725,140
10310,140
11935,140
10109,140
10651,140
10936,140
10517,140
10928,140
11736,140
10138,140
