ID;ClientProfitCenterID;SalesMonth;SalesYear;Volume
1;976;2;2023;9
2;1;8;2022;0
3;1;11;2022;1
4;1;3;2023;0
5;1;5;2023;1
6;1;6;2023;6
7;1;8;2023;1
8;1;9;2023;5
9;1;10;2023;3
10;1;3;2024;2
11;1;9;2024;7
12;2;7;2023;26
13;2;9;2023;17
14;2;11;2024;6
15;3;11;2023;0
16;3;3;2024;10
17;3;10;2024;0
18;4;5;2022;1
19;4;6;2022;0
20;4;7;2022;5
21;4;10;2022;37
22;4;11;2022;20
23;4;1;2023;6
24;4;3;2023;27
25;4;4;2023;61
26;4;6;2023;25
27;4;9;2023;0
28;4;11;2023;14
29;4;1;2024;0
30;4;2;2024;12
31;4;3;2024;11
32;4;4;2024;0
33;4;7;2024;47
34;4;10;2024;6
35;4;12;2024;0
36;4;1;2025;1
37;4;3;2025;3
38;4;4;2025;1
39;4;5;2025;4
41;5;4;2022;2
42;5;5;2022;2
43;5;6;2022;25
44;5;9;2022;19
45;5;10;2022;26
46;5;11;2022;0
47;5;1;2023;0
48;5;3;2023;24
49;5;4;2023;1
50;5;5;2023;22
51;5;6;2023;18
52;5;8;2023;42
53;5;9;2023;44
54;5;10;2023;64
55;5;11;2023;8
56;5;1;2024;6
57;5;4;2024;5
58;5;6;2024;57
59;5;7;2024;57
60;5;9;2024;90
61;5;10;2024;50
62;5;11;2024;21
63;5;12;2024;17
64;5;4;2025;83
65;5;5;2025;77
68;6;6;2022;0
69;6;8;2022;9
70;6;9;2022;2
71;6;10;2022;6
72;6;11;2022;22
73;6;1;2023;5
74;6;3;2023;12
75;6;4;2023;3
76;6;5;2023;2
77;6;6;2023;1
78;6;8;2023;9
79;6;11;2023;1
80;6;3;2024;1
81;6;4;2024;20
82;6;5;2024;1
83;6;7;2024;4
84;6;9;2024;7
85;6;10;2024;37
86;6;2;2025;29
87;6;3;2025;6
88;6;4;2025;2
89;6;5;2025;54
91;7;9;2022;5
92;7;6;2023;26
93;7;3;2024;28
94;7;5;2024;6
95;7;8;2024;5
96;7;5;2025;42
98;8;5;2022;101
99;8;6;2022;2
100;8;8;2022;2
101;8;1;2023;0
102;8;3;2023;42
103;8;4;2023;2
104;8;7;2023;39
105;8;8;2023;304
106;8;9;2023;308
107;8;10;2023;55
108;8;11;2023;2
109;8;12;2023;1
110;8;5;2024;35
111;8;6;2024;15
112;8;3;2025;42
113;8;4;2025;32
114;8;5;2025;3
116;9;11;2022;36
117;9;1;2023;0
118;9;5;2023;18
119;9;7;2023;44
120;9;9;2023;107
121;9;10;2023;72
122;9;11;2023;62
123;9;4;2024;16
124;9;5;2024;36
125;9;7;2024;144
126;9;8;2024;21
127;9;9;2024;118
128;9;10;2024;48
129;9;11;2024;21
130;9;1;2025;83
131;9;2;2025;422
132;9;4;2025;46
135;10;4;2023;1
136;10;7;2023;101
137;10;11;2023;1
138;10;9;2024;2
139;11;10;2022;13
140;11;3;2023;53
141;11;5;2023;26
142;11;9;2023;16
143;11;6;2024;72
144;11;7;2024;24
145;11;8;2024;48
146;11;10;2024;11
147;12;4;2022;127
148;12;5;2022;21
149;12;11;2022;22
150;12;9;2023;22
151;12;10;2023;69
152;12;11;2023;60
153;12;3;2024;25
154;13;11;2024;24
155;13;4;2025;10
156;13;5;2025;6
158;14;4;2022;249
159;14;5;2022;358
160;14;6;2022;548
161;14;7;2022;86
162;14;8;2022;419
163;14;9;2022;371
164;14;10;2022;298
165;14;11;2022;339
166;14;1;2023;502
167;14;2;2023;221
168;14;3;2023;477
169;14;4;2023;169
170;14;5;2023;398
171;14;6;2023;499
172;14;7;2023;493
173;14;8;2023;327
174;14;9;2023;352
175;14;10;2023;567
176;14;11;2023;375
177;14;12;2023;252
178;14;1;2024;293
179;14;2;2024;226
180;14;3;2024;623
181;14;4;2024;426
182;14;5;2024;685
183;14;6;2024;335
184;14;7;2024;742
185;14;8;2024;583
186;14;9;2024;432
187;14;10;2024;514
188;14;11;2024;334
189;14;12;2024;86
190;14;1;2025;82
191;14;2;2025;332
192;14;3;2025;505
193;14;4;2025;255
194;14;5;2025;320
197;15;5;2022;1
198;15;10;2022;0
199;15;2;2023;46
200;15;5;2023;5
201;15;11;2023;4
202;15;9;2024;39
203;15;2;2025;80
204;15;3;2025;2
205;16;7;2022;42
206;16;8;2022;0
207;16;10;2022;9
208;16;11;2022;10
209;16;7;2023;8
210;16;8;2024;6
211;16;9;2024;1
212;16;1;2025;20
213;17;11;2024;0
214;17;12;2024;2
215;977;4;2022;5
216;18;4;2022;57
217;18;5;2022;53
218;18;7;2022;56
219;18;8;2022;46
220;18;9;2022;15
221;18;10;2022;42
222;18;11;2022;73
223;18;12;2022;11
224;18;1;2023;11
225;18;2;2023;38
226;18;3;2023;23
227;18;4;2023;23
228;18;5;2023;38
229;18;6;2023;26
230;18;7;2023;35
231;18;8;2023;30
232;18;9;2023;7
233;18;5;2025;74
236;19;9;2024;150
237;19;4;2025;32
238;20;4;2022;16
239;20;5;2022;7
240;20;6;2022;16
241;20;9;2022;16
242;20;10;2022;15
243;20;12;2022;12
244;20;2;2023;22
245;20;3;2023;21
246;20;7;2023;25
247;20;9;2023;4
248;20;10;2023;3
249;20;11;2023;9
250;20;1;2024;6
251;20;3;2024;14
252;20;4;2024;18
253;20;7;2024;6
254;20;9;2024;8
255;20;10;2024;13
256;20;11;2024;16
257;20;4;2025;27
258;20;5;2025;0
259;21;12;2023;19
260;22;6;2023;9
261;22;11;2024;21
262;23;4;2022;5
263;23;5;2022;96
264;23;6;2022;5
265;23;7;2022;4
266;23;8;2022;3
267;23;9;2022;5
268;23;10;2022;5
269;23;11;2022;6
270;23;2;2023;18
271;23;5;2023;6
272;23;7;2023;10
273;23;8;2023;1
274;23;9;2023;15
275;23;10;2023;10
276;23;11;2023;6
277;23;1;2024;12
278;23;3;2024;12
279;23;5;2024;8
280;23;7;2024;7
281;23;8;2024;9
282;23;9;2024;16
283;23;10;2024;12
284;23;11;2024;7
285;23;1;2025;13
286;23;3;2025;11
287;23;4;2025;4
288;23;5;2025;12
289;978;8;2022;2
290;978;11;2022;0
291;24;2;2024;7
292;25;1;2023;3
293;25;8;2023;36
294;25;12;2023;2
295;25;9;2024;18
296;25;11;2024;20
297;979;9;2022;3
298;979;1;2023;0
299;26;1;2023;46
300;26;2;2023;76
301;26;2;2024;76
302;26;4;2024;43
303;26;2;2025;6
304;27;7;2024;167
305;28;5;2022;1
306;28;10;2022;7
307;28;11;2022;3
308;28;1;2023;8
